8 secondsねえ、起きて。 起床。
0:1515 secondsねえ、起きて。ねえ、起きて。もう起きたよ。もう起きたよ。
0:2626 seconds異人は もう起きたよ。もう起きたよ。顔を洗った。顔を洗った。
0:3939 secondsシリアのま、 顔を洗った。顔を洗った。うん。洗った。うん。洗った。うん。
0:5555 secondsしご うんった。うん。洗った。ハも磨いた。ハモ
1:111 minute, 11 seconds刷好了。 ハモ。歯も磨いた。もちろん。もちろん。
1:271 minute, 27 secondsもちろんもちろん服を着 來穿上衣服をきよ。服を着これでいい。これでいい。
1:531 minute, 53 secondsこれでいい。これでいい。うん。似合うよ。うん。似合うよ。
2:052 minutes, 5 secondsうん。很合適。 うん。似合うよ。うん。似合うよ。カは持った。カは持った。
2:242 minutes, 24 secondsカは持った。カは持った。持ったよ。持ったよ。
2:402 minutes, 40 seconds持ったよ。持ったよ。行こうか。 行こうか。出發。
2:542 minutes, 54 seconds行こうか。 行こうか。うん。行こう。うん。行こう。
3:033 minutes, 3 secondsうん。そば。 うん。行こう。うん。行こう。靴を履いてね。靴を履いてね。
3:183 minutes, 18 seconds把鞋子穿上。 靴を履いてね。靴を履いてね。はい、吐いた。はい、吐いた。
3:323 minutes, 32 seconds好、穿好了。 はい、吐いた。はい、吐いた。忘れ物はない。忘れ物はない。
3:473 minutes, 47 seconds沒有落下東西吧。 忘れ物はない。忘れ物はない。大丈夫だよ。大丈夫だよ。
4:024 minutes, 2 seconds沒事だ。都 大丈だよ。大丈夫だよ。気をつけてね。気をつけてね。
4:164 minutes, 16 seconds路上小心。 気をつけてね。気をつけてね。ありがとう。ありがとう。
4:294 minutes, 29 secondsシ ありがとう。ありがとう。またね。またね。回頭見。
4:454 minutes, 45 secondsまたね。またね。今日は何する?今日は何する?
5:005 minutes今日は何する?今日は何する?学校へ行くよ。学校へ行くよ。
5:145 minutes, 14 seconds学校へ行くよ。学校へ行くよ。楽しみ。楽しみ。
5:275 minutes, 27 seconds楽しみ。楽しみ。うん。楽しみ。うん。楽しみに。うん。だ。
5:415 minutes, 41 secondsうん。楽しみ。うん、楽しみに。友達に会えるね。友達に会えるね。
5:545 minutes, 54 seconds能見到朋友真好。 友達に会えるね。友達に会えるね。そうだね。そうだね。
6:136 minutes, 13 secondsそうだね。そうだね。一緒に遊ぼう。一緒に遊ぼう。
6:256 minutes, 25 seconds一ば 一緒に遊ぼう。一緒に遊ぼう。いいよ。いいよ。
6:386 minutes, 38 secondsはや。 いいよ。いいよ。何して遊ぶ?何して遊ぶ?
6:536 minutes, 53 seconds何して遊ぶ?何して遊ぶ?鬼ごっこしよ。おごっこしよ。草。
7:087 minutes, 8 seconds鬼ごっこしよ。鬼ごっこしよ。じゃあ僕が鬼ね。じゃあ僕が鬼ね。我來抓人。
7:247 minutes, 24 secondsじゃあ僕が鬼ね。じゃあ僕が鬼ね。逃げるよ。逃げるよ。
7:367 minutes, 36 seconds我要跑了。 逃げるよ。逃げるよ。待ってよ。待ってよ。
7:507 minutes, 50 secondsだんだんは。 待ってよ。待ってよ。早いね。早いね。好快。
8:058 minutes, 5 seconds早いね。早いね。捕まえた。捕まえた。
8:178 minutes, 17 seconds捕まえた。捕まえた。もう 1回。もう 1回。
8:318 minutes, 31 secondsもう1回。 もう1回いいよ。いいよ。沒問題。
8:458 minutes, 45 secondsいいよ。いいよ。頑張って。頑張って。
8:558 minutes, 55 secondsじゃよ。 頑張って。頑張って。
9:059 minutes, 5 seconds楽しいね。楽しいね。好開心。
9:149 minutes, 14 seconds楽しいね。楽しいね。本当に楽しい。本当に楽しい。特別
